Name,Risk
   LINDY'S CHILI- GERTIE'S ICE CREAM & CHILI ,Risk 1 (High)
"   BAI CAFE, INC. ",Risk 1 (High)
 BUB CITY ,Risk 1 (High)
 FAMILY DOLLAR STORE #6944  ,Risk 3 (Low)
 ARMITAGE PRODUCE INC  ,Risk 1 (High)
  WILDE  ,Risk 1 (High)
 RESTORING THE SEED ,Risk 1 (High)
 HAROLDS CHICKEN WEST LOOP 47  ,Risk 2 (Medium)
  THE GODDESS GOLD COAST ,Risk 1 (High)
  RUBY'S FAST FOOD   ,Risk 1 (High)
   BURGER KING #6358   ,Risk 2 (Medium)
  WEST ON NORTH ,Risk 1 (High)
  NICKY'S CHINESE FOOD   ,Risk 1 (High)
 CIALES POULTRY MEATS & FISH   ,Risk 1 (High)
" SHOP 4 LESS STORE, INC ",Risk 3 (Low)
 COCULA RESTAURANT   ,Risk 1 (High)
  JOE'S FOOD & LIQUOR   ,Risk 1 (High)
 CZERWONY KAPTUREK  ,Risk 1 (High)
"  EL MERO SUPERMARKET, INC   ",Risk 3 (Low)
 SUBWAY   ,Risk 1 (High)
   TOTAL NUTRITION-HERBALLIFE   ,Risk 2 (Medium)
   CZERWONY KAPTUREK   ,Risk 1 (High)
 GAN SHALOM (TEMPLE SHOLOM) OF  ,Risk 1 (High)
 JEWEL FOOD STORE #3170 ,Risk 1 (High)
   MELLOW YELLOW  ,Risk 1 (High)
 TAQUERIA SIGLO XX  ,Risk 1 (High)
  G & S FOOD MART INC   ,Risk 2 (Medium)
   FLOYD'S PUB  ,Risk 1 (High)
  JERKY JERK   ,Risk 1 (High)
 THE TIN LIZZIE ,Risk 2 (Medium)
 HAROLD'S CHICKEN SHACK #14 ,Risk 2 (Medium)
  THE ROOST ,Risk 3 (Low)
 Popeyes Chicken And Biscuits  ,Risk 1 (High)
  THE LITE  ,Risk 1 (High)
  Frank's  ,Risk 3 (Low)
  BURGER KING RESTAURANT # 5495  ,Risk 2 (Medium)
  THE ATLANTIC BAR & GRILL  ,Risk 1 (High)
   JEWEL FOOD STORE ,Risk 1 (High)
  KILWINS CHOCOLATES FUDGE AND ICE CREAM  ,Risk 2 (Medium)
 BURGER KING #181 ,Risk 2 (Medium)
   CHARTWELLS  ,Risk 1 (High)
  LAWRENCE PASTRY SHOP   ,Risk 1 (High)
 CHARTWELLS ,Risk 2 (Medium)
 CRAZY CRAVINGS ,Risk 2 (Medium)
  LAZO'S TACOS ,Risk 1 (High)
"  PLAZZIO'S PIZZA RESTAURANT, INC.   ",Risk 1 (High)
"  BAI CAFE, INC. ",Risk 1 (High)
  SUSHI WORLD ,Risk 1 (High)
  BURGER KING  ,Risk 2 (Medium)
  EL MIRADOR RESTAURANT   ,Risk 1 (High)
 Moreno Restaurant Group inc dba Raffaelo's   ,Risk 1 (High)
" RUCA FOODSERVICE, LLC ",Risk 1 (High)
"  BIG RAYS GRILL, INC.  ",Risk 1 (High)
  DE QUAY ,Risk 1 (High)
  INDO-PAK GRILL   ,Risk 1 (High)
   ROTI MODERN MEDITERRANEAN ,All
   BEEFBELLY  ,Risk 1 (High)
  BLIND BARBER  ,Risk 3 (Low)
 BALENA   ,Risk 1 (High)
  FAMILY DOLLAR #31994   ,Risk 3 (Low)
  BLIND BARBER  ,Risk 1 (High)
   THE NEW PINDOS RESTAURANT ,Risk 1 (High)
   THE ROOST   ,Risk 3 (Low)
 A & A GAS FUEL MINI FOOD MART  ,Risk 2 (Medium)
  LIGHT HOUSE ,Risk 1 (High)
  ETO'O   ,Risk 1 (High)
 GIORDANO'S OF LOGAN SQUARE   ,Risk 1 (High)
  EDDIE CAFE INC.  ,Risk 2 (Medium)
  CRAGIN FRESH MARKET ,Risk 2 (Medium)
 CAFE MARBELLA  ,Risk 1 (High)
  ZA'ATAR MED GRILL   ,Risk 1 (High)
 TAQUERIA OCHOA'S #2   ,Risk 1 (High)
 FISCHMAN BOTTLE SHOP ,Risk 3 (Low)
"   JUST LIKE HOME, BALDWIN INC.  ",Risk 1 (High)
 SEAFOOD ON THE TABLES ,Risk 1 (High)
 GRAND LUX CAFE  ,Risk 1 (High)
 HOUSE OF WAH SUN   ,Risk 1 (High)
 MARISCOS LA PALMA ,Risk 1 (High)
 BLACK ROCK PUB   ,Risk 1 (High)
   MUNCHIES  ,Risk 3 (Low)
  FAMOUS DUTCH PANCAKE HUIS ,Risk 1 (High)
  OCEAN CUT CHICAGO ,Risk 1 (High)
  SUBLIME SUSHI  ,Risk 1 (High)
" ZAKOM FOOD MART, INC ",Risk 3 (Low)
   GORILLA SUSHI ,Risk 1 (High)
   THE PRIORITY BAR AND KITCHEN ,Risk 1 (High)
 DOS TOROS TAQUERIA  ,Risk 3 (Low)
   PIATTO PRONTO ,Risk 1 (High)
  DOS TOROS TAQUERIA  ,Risk 1 (High)
  DESSERT CONCEPTS LLC   ,Risk 1 (High)
 WENDYS OLD FASHIONED HAMBURGERS  ,Risk 1 (High)
   SECOND TIME AROUND ,Risk 1 (High)
  FULL SHILLING   ,Risk 1 (High)
  HALF ACRE BEER COMPANY  ,Risk 1 (High)
   FOSTER & BROADWAY BP/AUTOTECH  ,Risk 3 (Low)
  SU CASA ,Risk 1 (High)
   AFC SUSHI @ JEWEL-OSCO #3531 ,Risk 1 (High)
   7-ELEVEN #33835 C  ,Risk 3 (Low)
  KUROWSKI SAUSAGE SHOP & RICH   ,Risk 1 (High)
 7-ELEVEN #33835 C   ,Risk 2 (Medium)
   ARMITAGE PRODUCE INC ,Risk 1 (High)
   TONALAPA MINI MART  ,Risk 3 (Low)
 BC IRVING PARK LLC   ,Risk 2 (Medium)
   HALF ACRE BEER COMPANY ,Risk 1 (High)
  ROSELAND COMMUNITY GOOD NEWS DAY CARE CORP.   ,Risk 1 (High)
  NEW ORLEANS SEAFOOD INC  ,Risk 1 (High)
  TROPICAL TASTE   ,Risk 1 (High)
  ALEX'S CATERING ,Risk 3 (Low)
  URBAN  INTERESTS  ,Risk 1 (High)
   STARBUCKS COFFEE #47565  ,Risk 2 (Medium)
  MCDONALD'S   ,Risk 2 (Medium)
   FAMILY DOLLAR #31994 ,Risk 3 (Low)
   FAST BURRITO ,Risk 1 (High)
   SUBWAY   ,Risk 1 (High)
 Mama Luna on Addison LLC   ,Risk 1 (High)
  DRINKS ON ME CATERING   ,Risk 3 (Low)
   MARISCOS EL VENENO ,Risk 1 (High)
" WENDY'S PROPERTIES, LLC   ",Risk 1 (High)
  THE GRAFTON PUB & GRILL   ,Risk 1 (High)
"  SABORES DE AMERICA, KATAKANA KOKO MEXICAN GRILL   ",Risk 1 (High)
"  F & G FOOD AND MEAT INC,   ",
  SALERO ,Risk 1 (High)
 DOLLAR TREE STORES #673 ,Risk 3 (Low)
   CASA MARGARITA   ,Risk 3 (Low)
   CASA MARGARITA ,Risk 1 (High)
  TAQUERIA VALPARAISO  ,Risk 1 (High)
  THAI SPOON AND SUSHI ,Risk 1 (High)
 THAI SPOON AND SUSHI   ,Risk 1 (High)
 ISLAND PARTY HUT ,Risk 2 (Medium)
   TASTY CHINA   ,Risk 1 (High)
"  BEREKE, INC..  ",Risk 1 (High)
   AFC SUSHI@JEWEL-OSCO#3454  ,Risk 1 (High)
  CRAGIN FRESH MARKET   ,Risk 2 (Medium)
  JEWEL FOOD STORE #3454 ,Risk 1 (High)
 FEAST  ,Risk 1 (High)
   NOON O KABAB  ,Risk 1 (High)
 FIRST MERIT PAVILION  ,Risk 2 (Medium)
  ENGLEWOOD MARKET ,Risk 2 (Medium)
   FEAST   ,Risk 1 (High)
   THE GRAND SANDWICH   ,Risk 1 (High)
   REAL GOOD JUICE COMPANY   ,Risk 2 (Medium)
 HYDERABAD HOUSE   ,Risk 1 (High)
"  JERUSALEM GRILL, INC   ",Risk 1 (High)
"   PIE  CAFE,  LLC  ",Risk 1 (High)
 A & A GAS FUEL MINI FOOD MART ,Risk 2 (Medium)
  LEVY RESTAURANTS @ WRIGLEY FIELD  ,Risk 1 (High)
 TASTY CHINA ,Risk 1 (High)
 CRAZY CRAVINGS   ,Risk 2 (Medium)
   DUNKIN DONUTS/BASKIN ROBBINS ,Risk 2 (Medium)
 FRESH ZABIHA HALAL SUPER MARKET ,Risk 2 (Medium)
" LAKESIDE ACADEMY, INC   ",Risk 1 (High)
" 11 DINING, LLC  ",Risk 3 (Low)
  PORRETTA'S RESTAURANT INC  ,Risk 1 (High)
   KRUNGTHEP THAI CUISINE  ,Risk 1 (High)
 MODERN WING/TERZO PIANO   ,Risk 1 (High)
   CUBA 312   ,Risk 1 (High)
   HILTON O'HARE  ,Risk 3 (Low)
   MARINERO BAR AND GRILL ,Risk 1 (High)
 HILTON O'HARE   ,Risk 3 (Low)
   HILTON O'HARE  ,Risk 3 (Low)
 HILTON O'HARE ,Risk 3 (Low)
   HILTON O'HARE  ,Risk 1 (High)
  PATEL'S CAFE   ,Risk 1 (High)
"  UNIVERSITY VILLAGE MONTESSORI SCHOOL, INC ",Risk 1 (High)
"   FFT@350, LLC   ",Risk 1 (High)
 CERMAK PRODUCE   ,Risk 1 (High)
"  LUNA PARK, INC.  ",Risk 1 (High)
"  MIN'S NOODLE HOUSE, LTD.   ",Risk 1 (High)
   SUNNYDAY TAP   ,Risk 1 (High)
